"termname","weekname","subject","taskname","description","video_url"
"Term 4","Week 40","Mathematics","Probability Basics","x","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1136864750?h=0b859c490c&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Probability Basics Y5 Week 40""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","English","Dependent and Independent Clauses","a",NULL
"Term 1","Week 3","English","Compound and Complex Sentences","a",NULL
"Term 1","Week 6","Mathematics","Order of operations 1",NULL,NULL
"Term 1","Week 6","Mathematics","Order of operations 2",NULL,NULL
"Term 1","Week 6","Mathematics","Order of operations 3",NULL,NULL
"Term 1","Week 6","Mathematics","Number Sentences (Order of Operations)",NULL,NULL
"Term 1","Week 7","Mathematics","Addition to 7-Digits","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142422538?h=240a18799b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Addition up to 7 Digits - Y5 - W4""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","Mathematics","Subtraction to 7-Digits","a","<div style=""padding:75% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142421684?h=6813324d1e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Subtraction up to 7 digits - Y5 - W4""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","Mathematics","Long Multiplication (2-digit Number)","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142420469?h=eff6ffeb3b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""LONG MULTIPLICATION (2-DIGIT NUMBER)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 4","English","Common Nouns and Proper Nouns","a",NULL
"Term 1","Week 4","English","Concrete Nouns and Abstract Nouns","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1143081661?h=d11b68e1f9&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Concrete Nouns and Abstract Nouns Y3 (2)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 4","English","Regular and Irregular Plural Nouns","a",NULL
"Term 1","Week 8","Mathematics","Long Multiplication (3-Digit Number)","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142420403?h=dcd6a92ea7&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""LONG MULTIPLICATION(3-DIGIT NUMBER)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 8","Mathematics","Short Division",NULL,NULL
"Term 1","Week 8","Mathematics","Short Division with Fractional Remainders","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142419696?h=6466b68eea&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""SHORT DIVISION WITH FRACTIONAL REMAINDERS (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 6","Mathematics","Simplifying Ratios 1","x",NULL
"Term 1","Week 6","Mathematics","Simplifying Ratios 2","x",NULL
"Term 1","Week 9","Mathematics","Timetables","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142419047?h=71ce31a046&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""TIME TABLES""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 9","Mathematics","Timelines using Scale",NULL,NULL
"Term 1","Week 10","Mathematics","Angle Types and Labelling",NULL,NULL
"Term 1","Week 10","Mathematics","Angles on a Straight Line","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142417669?h=493b58755f&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Angles on a straight line (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 10","Mathematics","Vertically Opposite, Angles at a Point",NULL,NULL
"Term 1","Week 1","Mathematics","Positive exponents and the law of exponents","x",NULL
"Term 1","Week 1","Mathematics","Zero and negative exponents","x",NULL
"Term 1","Week 1","Mathematics","Understanding positive and negative integers","x",NULL
"Term 1","Week 1","Mathematics","Using number line","x",NULL
"Term 1","Week 1","Mathematics","Ordering integers","x",NULL
"Term 1","Week 1","Mathematics","Addition and subtraction involving negative numbers","x",NULL
"Term 2","Week 11","Mathematics","Locating Fractions on the Number Line",NULL,NULL
"Term 2","Week 11","Mathematics","Equivalent Fractions","a","<div style=""padding:75% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142417166?h=02f88ff3c6&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Equivalent Fractions Y5""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 11","Mathematics","Simplifying Fractions","a","<div style=""padding:75% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142417166?h=02f88ff3c6&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Equivalent Fractions Y5""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 5","English","Subject and Object Personal Pronouns","a",NULL
"Term 1","Week 5","English","Possessive Pronouns and Reflexive Pronouns","q","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1143080884?h=42cd6b651a&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Pronouns Personal, Possessive, and Reflexive Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 2","Mathematics","Multiplication and division involving negative numbers","x",NULL
"Term 1","Week 2","Mathematics","Order of operations","x",NULL
"Term 1","Week 2","Mathematics","Exponential notation","x",NULL
"Term 1","Week 2","Mathematics","Expanded Notation using Powers","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141789112?h=67ca440fea&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Expanded Notation Using Powers (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 2","Mathematics","Fractions and Decimals as Percentages","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145244549?h=8f6bb52d21&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""FRACTIONS AND DECIMALS AS PERCENTAGES""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 2","Mathematics","Quantities as Percentages of Others","x",NULL
"Term 2","Week 12","Mathematics","Addition with Equal Denominators","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142414462?h=0278779d53&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 12","Mathematics","Subtraction with Equal Denominators","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142413028?h=b59905f09b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Subtraction with Equal Denominators Y4 Week 12 (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","Mathematics","Percentages of Quantities","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145244502?h=fd9c7d772d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""PERCENTAGES OF QUANTITIES""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","Mathematics","Finding a Number Given a Percentage (Unitary Method)","x",NULL
"Term 2","Week 13","Mathematics","Addition with Related Denominators","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142411115?h=618e16d380&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""ADDITION WITH RELATED DENOMINATORS FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 13","Mathematics","Subtraction with Related Denominators",NULL,NULL
"Term 1","Week 4","Mathematics","Increasing by a Percentage","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145242926?h=c06ec0f8e2&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""INCREASING BY A PERCENTAGE""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 4","Mathematics","Decreasing by a Percentage","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145243002?h=5206c02fc0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""DECREASING BY A PERCENTAGE""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","Mathematics","Expanded Notation as a Numeral","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141788244?h=14f92e9035&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Expanded Notation as A Numeral""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","Mathematics","Prime factorisation","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141787507?h=55d1465046&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Prime Factorization""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","Mathematics","HCF using Factor Trees","x","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141679148?h=8c94675dc8&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""HCF Using Factor Tree - Y7""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 3","Mathematics","LCM using Factor Trees","x","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141782610?h=4097353970&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""LCM Using Factor Tree - Y7""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 5","Mathematics","Discounts","x",NULL
"Term 1","Week 5","Mathematics","Profit and Loss","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145241673?h=465eaf4173&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""PROFIT AND LOSS FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 5","Mathematics","GST","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145241595?h=f6253cec37&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""THE GST""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 6","English","Main Verbs and Helping Verbs","a","a"
"Term 1","Week 6","English","Transitive and Intransitive Verbs","a","a"
"Term 2","Week 14","Mathematics","Fraction of a Whole Number 1","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142410875?h=c52c9f509a&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""FRACTION OF A WHOLE NUMBER 1 FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 14","Mathematics","Fraction of a Whole Number 2","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142410514?h=052560684d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 14","Mathematics","Fraction of a Whole Number 3","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142410280?h=b0ecbd489e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""FRACTION OF A WHOLE NUMBER 3 FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","Mathematics","Finding ratios","x",NULL
"Term 1","Week 7","Mathematics","Equivalent Ratios","x",NULL
"Term 1","Week 7","Mathematics","Ratio Problem Questions","x",NULL
"Term 1","Week 7","English","Modal Verbs: Will, Shall and Can","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1143080657?h=babb450861&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Modal Verbs Will, Shall, Can Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","English","Modal Verbs: Would, Should and Could","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1143079959?h=e96772a8a2&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Modal Verbs Would, Should, and Could Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 15","Mathematics","Area of Squares and Rectangles","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142409054?h=390465e7b3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Area of Squares and Rectangles Y5""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 15","Mathematics","Area of a triangle 1",NULL,NULL
"Term 2","Week 15","Mathematics","Area of a triangle 2",NULL,NULL
"Term 1","Week 4","Mathematics","The Square roots","x",NULL
"Term 1","Week 4","Mathematics","The Cube roots","x",NULL
"Term 1","Week 4","Mathematics","Equivalent Fractions","x","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141678335?h=77a99455c3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Equivalent fractions_1""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 4","Mathematics","Simplifying Fractions","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141787343?h=293468b726&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Simplifying fractions (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 8","Mathematics","Dividing Quantities in a Given Ratio","x",NULL
"Term 1","Week 8","Mathematics","Using Scale","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145239655?h=8b47e8f305&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""USING SCALE""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 16","Mathematics","Litres and Millilitres","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142408432?h=5ea703c6b8&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""LITRES AND MILLILITRES FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 16","Mathematics","Capacity Conversions","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142407044?h=13a652a303&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""CAPACITY CONVERSIONS FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 16","Mathematics","Operations with Capacity","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142398196?h=24b1b14105&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""OPERATIONS WITH CAPACITY FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 6","Mathematics","Addition with Different Denominators","x",NULL
"Term 1","Week 6","Mathematics","Subtraction with Different Denominators","x",NULL
"Term 1","Week 6","Mathematics","Adding and Subtracting mixed fractions","x",NULL
"Term 1","Week 6","Mathematics","Multiplying a fraction by a whole number ((Fractions of whole numbers)","x",NULL
"Term 1","Week 6","Mathematics","Multiplication with Fractions","x",NULL
"Term 1","Week 9","Mathematics","Time Conversions","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145238643?h=e3986cf302&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""TIME CONVERSIONS""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 9","Mathematics","24 Hour Time","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145236177?h=636294cdcf&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""24 hour Time""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 8","English","Modal Verbs: Will, May, Must","a",NULL
"Term 1","Week 8","English","Be-Verbs: Am, Is, Are, Was, Were","a",NULL
"Term 1","Week 8","English","Possession Verbs: Has, Have, Had","a",NULL
"Term 2","Week 17","Mathematics","Volume and Capacity",NULL,NULL
"Term 2","Week 17","Mathematics","Problems involving Change of Units","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142396932?h=1bcf3c1988&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""PROBLEM INVOLVING CHANGE OF UNITS FULL""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 17","Mathematics","Volume of Cubes and Rectangular Prisms","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1142395348?h=c4b7cdeec3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""VOLUME OF CUBES AND RECTANGULAR PRISMS FULL (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 10","Mathematics","Time Differences","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1145234521?h=82badd7e22&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""TIME DIFFERENCE""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 10","Mathematics","Time Zones and Travel","x",NULL
